Language,Address,Address1,Address2,Address3,Address4,Publication,Pubtype,Recording,Notes
"Xumi (part 1): Lower Xumi, the variety of the lower and middle reaches of the Shuiluo river","Muli, Liangshan, Sichuan, People's Republic of China",,,,,http://dx.doi.org/10.1017/S0025100313000157,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Lower-Xumi.zip,
"Xumi (part 2): Upper Xumi, the variety of the upper reaches of the Shuiluo river","Muli, Liangshan, Sichuan, People's Republic of China",,,,,http://dx.doi.org/10.1017/S0025100313000169,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Upper-Xumi.zip,
Yine,"Ucayali, Peru",,,,,http://dx.doi.org/10.1017/S0025100308003356,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Yine.zip,
Zurich German,"Zurich, Switzerland",,,,,http://dx.doi.org/10.1017/S0025100306002441,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Zurich-German.zip,
Gitskan,"Glen Vowell, British Columbia, Canada",,,,,https://doi.org/10.1017/S0025100315000432,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Gitksan.zip,
Malayalam,"Kerala,India",,,,,https://doi.org/10.1017/S0025100315000407,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Malayalam.zip,
Azerbaijani,"Baku, Azerbaijan",,,,,https://doi.org/10.1017/S0025100317000184,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Azerbaijanian.zip,
Munji,"Kuran Wa Munjan, Badachschan, Afghanistan",,,,,https://doi.org/10.1017/S0025100316000256,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Munji.zip,
Ukrainian,"Kiev, Ukraine",,,,,https://doi.org/10.1017/S0025100316000372,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Ukrainian.zip,
Upper Sorbian,"Bautzen, Germany",,,,,https://doi.org/10.1017/S0025100316000414,Illustration,https://www.internationalphoneticassociation.org/sites/default/files/JIPArecordings/Upper-Sorbian.zip,
